dateTime,values
2023-09-07T10:20:00Z,2.786819935
2023-09-07T10:25:00Z,2.782041788
2023-09-07T10:30:00Z,2.792113781
2023-09-07T10:35:00Z,2.792702198
2023-09-07T10:40:00Z,2.776499033
2023-09-07T10:45:00Z,2.783564806
2023-09-07T10:50:00Z,2.777814865
2023-09-07T10:55:00Z,2.789238214
2023-09-07T11:00:00Z,2.781992197
2023-09-07T11:05:00Z,2.78087306
2023-09-07T11:10:00Z,2.784121275
2023-09-07T11:15:00Z,2.797284126
2023-09-07T11:20:00Z,2.790219784
2023-09-07T11:25:00Z,2.785424948
2023-09-07T11:30:00Z,2.782682657
2023-09-07T11:35:00Z,2.78824544
2023-09-07T11:40:00Z,2.784976244
2023-09-07T11:45:00Z,2.788275003
2023-09-07T11:50:00Z,2.783564806
2023-09-07T11:55:00Z,2.781756163
2023-09-07T12:00:00Z,2.778639555
2023-09-07T12:05:00Z,2.783926487
2023-09-07T12:10:00Z,2.781497955
2023-09-07T12:15:00Z,2.778604507
2023-09-07T12:20:00Z,2.779569864
2023-09-07T12:25:00Z,2.785242081
2023-09-07T12:30:00Z,2.780495882
2023-09-07T12:35:00Z,2.785803795
2023-09-07T12:40:00Z,2.785186052
2023-09-07T12:45:00Z,2.776016474
2023-09-07T12:50:00Z,2.776108265
2023-09-07T12:55:00Z,2.782549381
2023-09-07T13:00:00Z,2.780567884
2023-09-07T13:05:00Z,2.779290199
2023-09-07T13:10:00Z,2.776914358
2023-09-07T13:15:00Z,2.775782824
2023-09-07T13:20:00Z,2.777192116
2023-09-07T13:25:00Z,2.807677507
2023-09-07T13:30:00Z,2.80843091
2023-09-07T13:35:00Z,2.795138836
2023-09-07T13:40:00Z,2.793554306
2023-09-07T13:45:00Z,2.810239315
2023-09-07T13:50:00Z,2.813533306
2023-09-07T13:55:00Z,2.808521271
2023-09-07T14:00:00Z,2.8125
2023-09-07T14:05:00Z,2.798883438
2023-09-07T14:10:00Z,2.809485912
2023-09-07T14:15:00Z,2.79183197
2023-09-07T14:20:00Z,2.799065828
2023-09-07T14:25:00Z,2.786458254
2023-09-07T14:30:00Z,2.795621157
2023-09-07T14:35:00Z,2.790585756
2023-09-07T14:40:00Z,2.801649332
2023-09-07T14:45:00Z,2.78507185
2023-09-07T14:50:00Z,2.79542017
2023-09-07T14:55:00Z,2.778278589
2023-09-07T15:00:00Z,2.794327259
2023-09-07T15:05:00Z,2.777153015
2023-09-07T15:10:00Z,2.7819314
2023-09-07T15:15:00Z,2.788431168
2023-09-07T15:20:00Z,2.786301851
2023-09-07T15:25:00Z,2.783866167
2023-09-07T15:30:00Z,2.783296824
2023-09-07T15:35:00Z,2.781209469
2023-09-07T15:40:00Z,2.782600164
2023-09-07T15:45:00Z,2.775278807
2023-09-07T15:50:00Z,2.772809267
2023-09-07T15:55:00Z,2.774735212
2023-09-07T16:00:00Z,2.777045488
2023-09-07T16:05:00Z,2.768161058
2023-09-07T16:10:00Z,2.764421701
2023-09-07T16:15:00Z,2.7718606
2023-09-07T16:20:00Z,2.766899586
2023-09-07T16:25:00Z,2.76909709
2023-09-07T16:30:00Z,2.776330948
2023-09-07T16:35:00Z,2.771357775
2023-09-07T16:40:00Z,2.770317316
2023-09-07T16:45:00Z,2.776887417
2023-09-07T16:50:00Z,2.775499582
2023-09-07T16:55:00Z,2.77439642
2023-09-07T17:00:00Z,2.770195961
2023-09-07T17:05:00Z,2.7734375
2023-09-07T17:10:00Z,2.774252176
2023-09-07T17:15:00Z,2.778858423
2023-09-07T17:20:00Z,2.774133205
2023-09-07T17:25:00Z,2.767389059
2023-09-07T17:30:00Z,2.778326511
2023-09-07T17:35:00Z,2.772753
2023-09-07T17:40:00Z,2.778793573
2023-09-07T17:45:00Z,2.777510405
2023-09-07T17:50:00Z,2.777222872
2023-09-07T17:55:00Z,2.776243687
2023-09-07T18:00:00Z,2.77588439
2023-09-07T18:05:00Z,2.776526451
2023-09-07T18:10:00Z,2.776925564
2023-09-07T18:15:00Z,2.77471137
2023-09-07T18:20:00Z,2.784053564
2023-09-07T18:25:00Z,2.778914452
2023-09-07T18:30:00Z,2.785901785
2023-09-07T18:35:00Z,2.774209023
2023-09-07T18:40:00Z,2.777270317
2023-09-07T18:45:00Z,2.767138004
2023-09-07T18:50:00Z,2.767517328
2023-09-07T18:55:00Z,2.771077871
2023-09-07T19:00:00Z,2.765873432
2023-09-07T19:05:00Z,2.763671875
2023-09-07T19:10:00Z,2.768768311
2023-09-07T19:15:00Z,2.767874479
2023-09-07T19:20:00Z,2.76504612
2023-09-07T19:25:00Z,2.762216091
2023-09-07T19:30:00Z,2.763470888
2023-09-07T19:35:00Z,2.759574175
2023-09-07T19:40:00Z,2.761863232
2023-09-07T19:45:00Z,2.760416508
2023-09-07T19:50:00Z,2.759380102
2023-09-07T19:55:00Z,2.764024019
2023-09-07T20:00:00Z,2.755533695
2023-09-07T20:05:00Z,2.762667179
2023-09-07T20:10:00Z,2.756283045
2023-09-07T20:15:00Z,2.758532047
2023-09-07T20:20:00Z,2.7562778
2023-09-07T20:25:00Z,2.760331392
2023-09-07T20:30:00Z,2.760054827
2023-09-07T20:35:00Z,2.761772871
2023-09-07T20:40:00Z,2.762395144
2023-09-07T20:45:00Z,2.762058735
2023-09-07T20:50:00Z,2.755200624
2023-09-07T20:55:00Z,2.757305145
2023-09-07T21:00:00Z,2.760843277
2023-09-07T21:05:00Z,2.762434483
2023-09-07T21:10:00Z,2.761101961
2023-09-07T21:15:00Z,2.75780797
2023-09-07T21:20:00Z,2.760320187
2023-09-07T21:25:00Z,2.763493538
2023-09-07T21:30:00Z,2.757896423
2023-09-07T21:35:00Z,2.753334045
2023-09-07T21:40:00Z,2.755456209
2023-09-07T21:45:00Z,2.760620117
2023-09-07T21:50:00Z,2.763276815
2023-09-07T21:55:00Z,2.756544352
2023-09-07T22:00:00Z,2.752179384
2023-09-07T22:05:00Z,2.753122568
2023-09-07T22:10:00Z,2.751362562
2023-09-07T22:15:00Z,2.750139713
